Job Role,Required Skills,Expected Salary (INR),Soft Skills
Data Scientist,"Python, R, SQL, Machine Learning, Data Analysis, Statistics, NLP, Data Visualization","₹6,00,000 - ₹10,00,000","Analytical Thinking, Problem-Solving, Attention to Detail"
Software Engineer,"Java, Python, C++, JavaScript, Git, Algorithms, Data Structures, OOP","₹4,00,000 - ₹8,00,000","Teamwork, Communication, Adaptability"
Data Analyst,"Excel, SQL, Python, Data Cleaning, Data Visualization, Tableau, Statistics","₹3,00,000 - ₹6,00,000","Critical Thinking, Detail-Oriented, Presentation Skills"
Machine Learning Engineer,"Python, TensorFlow, PyTorch, Deep Learning, Machine Learning, Data Preprocessing, SQL","₹5,00,000 - ₹9,00,000","Curiosity, Analytical Skills, Patience"
Web Developer,"HTML, CSS, JavaScript, React, Node.js, Git, Responsive Design","₹3,00,000 - ₹6,00,000","Creativity, Problem-Solving, Time Management"
DevOps Engineer,"Docker, Kubernetes, Jenkins, CI/CD, AWS, Linux, Python, Bash","₹6,00,000 - ₹10,00,000","Collaboration, Initiative, Attention to Detail"
Cloud Engineer,"AWS, Azure, Google Cloud, Docker, Kubernetes, Networking, Security, Terraform","₹5,00,000 - ₹8,00,000","Communication, Problem-Solving, Flexibility"
Business Analyst,"SQL, Excel, Data Analysis, Project Management, Business Strategy, Power BI, Communication","₹4,00,000 - ₹7,00,000","Analytical Thinking, Decision-Making, Interpersonal Skills"
Cybersecurity Analyst,"Network Security, Firewalls, Ethical Hacking, Python, Risk Analysis, SIEM, Incident Response","₹5,00,000 - ₹9,00,000","Integrity, Detail-Oriented, Analytical Skills"
UX/UI Designer,"Figma, Adobe XD, Sketch, Wireframing, Prototyping, User Research, CSS","₹3,50,000 - ₹6,50,000","Empathy, Communication, Creativity"
Product Manager,"Project Management, Agile, Communication, Market Research, Product Roadmaps, UX/UI Understanding","₹6,00,000 - ₹10,00,000","Leadership, Strategic Thinking, Negotiation"
Mobile App Developer,"Swift, Kotlin, Java, Android SDK, iOS SDK, UI/UX Design, RESTful APIs","₹4,00,000 - ₹7,00,000","Creativity, Communication, Problem-Solving"
Network Engineer,"TCP/IP, Cisco, Routing, Switching, Network Security, Firewall Configuration, VPN","₹3,50,000 - ₹6,50,000","Patience, Troubleshooting, Communication"
Digital Marketing Manager,"SEO, SEM, Google Analytics, Content Creation, Social Media, Marketing Strategy, PPC","₹3,50,000 - ₹7,00,000","Creativity, Flexibility, Interpersonal Skills"
Financial Analyst,"Excel, Financial Modeling, Forecasting, SQL, Data Analysis, Market Research, Financial Reporting","₹4,00,000 - ₹7,00,000","Analytical Thinking, Attention to Detail, Presentation Skills"
AI Engineer,"Python, TensorFlow, PyTorch, Machine Learning, Deep Learning, NLP, Computer Vision","₹6,00,000 - ₹12,00,000","Critical Thinking, Curiosity, Problem-Solving"
Full Stack Developer,"JavaScript, HTML, CSS, React, Node.js, SQL, MongoDB, Git, REST APIs","₹4,00,000 - ₹8,00,000","Adaptability, Collaboration, Problem-Solving"
Backend Developer,"Python, Java, Node.js, SQL, Databases, REST APIs, Microservices, Git","₹4,00,000 - ₹7,50,000","Analytical Thinking, Communication, Patience"
Frontend Developer,"HTML, CSS, JavaScript, React, Angular, Responsive Design, CSS Preprocessing","₹3,00,000 - ₹6,00,000","Creativity, Attention to Detail, Time Management"
QA Engineer,"Selenium, Java, Python, Manual Testing, Automated Testing, JIRA, Test Automation Frameworks","₹3,50,000 - ₹6,50,000","Patience, Attention to Detail, Communication"
Big Data Engineer,"Hadoop, Spark, SQL, Python, Java, Data Warehousing, ETL, Data Modeling","₹5,00,000 - ₹9,00,000","Problem-Solving, Critical Thinking, Adaptability"
Database Administrator,"SQL, MySQL, Oracle, Database Management, Data Backup, Performance Tuning, Security","₹4,00,000 - ₹7,00,000","Attention to Detail, Problem-Solving, Patience"
Systems Engineer,"Linux, Windows Server, Networking, Scripting, Virtualization, Troubleshooting, Systems Architecture","₹3,00,000 - ₹6,00,000","Teamwork, Flexibility, Problem-Solving"
Blockchain Developer,"Solidity, Ethereum, Smart Contracts, Python, Cryptography, dApps, Blockchain Protocols","₹6,00,000 - ₹10,00,000","Innovation, Attention to Detail, Problem-Solving"
Embedded Systems Engineer,"C, C++, Embedded C, Microcontrollers, RTOS, Firmware Development, Debugging","₹4,00,000 - ₹7,00,000","Problem-Solving, Patience, Detail-Oriented"
IT Support Specialist,"Troubleshooting, Windows, Linux, Networking, Customer Service, Ticketing Systems, Hardware Configuration","₹2,00,000 - ₹4,00,000","Patience, Communication, Problem-Solving"
Content Strategist,"SEO, Content Writing, Copywriting, Social Media, Content Marketing, Analytics, Research","₹3,00,000 - ₹6,00,000","Creativity, Communication, Strategic Thinking"
Game Developer,"C++, Unity, Unreal Engine, Game Design, 3D Modeling, Animation, Scripting","₹4,00,000 - ₹8,00,000","Creativity, Problem-Solving, Adaptability"
Operations Analyst,"Excel, SQL, Data Analysis, Process Improvement, Project Management, Business Analysis","₹3,50,000 - ₹6,50,000","Analytical Skills, Time Management, Problem-Solving"
HR Analyst,"Excel, SQL, Data Analysis, HR Metrics, Communication, Organizational Behavior, Reporting","₹3,00,000 - ₹5,00,000","Communication, Empathy, Interpersonal Skills"
